,0,1
0,0,\alu_out[0]
1,1,\alu_out[10]
2,2,\alu_out[11]
3,3,\alu_out[12]
4,4,\alu_out[13]
5,5,\alu_out[14]
6,6,\alu_out[15]
7,7,\alu_out[16]
8,8,\alu_out[17]
9,9,\alu_out[18]
10,10,\alu_out[19]
11,11,\alu_out[1]
12,12,\alu_out[20]
13,13,\alu_out[21]
14,14,\alu_out[22]
15,15,\alu_out[23]
16,16,\alu_out[24]
17,17,\alu_out[25]
18,18,\alu_out[26]
19,19,\alu_out[27]
20,20,\alu_out[28]
21,21,\alu_out[29]
22,22,\alu_out[2]
23,23,\alu_out[30]
24,24,\alu_out[31]
25,25,\alu_out[3]
26,26,\alu_out[4]
27,27,\alu_out[5]
28,28,\alu_out[6]
29,29,\alu_out[7]
30,30,\alu_out[8]
31,31,\alu_out[9]
32,32,\alu_out_q[0]
33,33,\alu_out_q[10]
34,34,\alu_out_q[11]
35,35,\alu_out_q[12]
36,36,\alu_out_q[13]
37,37,\alu_out_q[14]
38,38,\alu_out_q[15]
39,39,\alu_out_q[16]
40,40,\alu_out_q[17]
41,41,\alu_out_q[18]
42,42,\alu_out_q[19]
43,43,\alu_out_q[1]
44,44,\alu_out_q[20]
45,45,\alu_out_q[21]
46,46,\alu_out_q[22]
47,47,\alu_out_q[23]
48,48,\alu_out_q[24]
49,49,\alu_out_q[25]
50,50,\alu_out_q[26]
51,51,\alu_out_q[27]
52,52,\alu_out_q[28]
53,53,\alu_out_q[29]
54,54,\alu_out_q[2]
55,55,\alu_out_q[30]
56,56,\alu_out_q[31]
57,57,\alu_out_q[3]
58,58,\alu_out_q[4]
59,59,\alu_out_q[5]
60,60,\alu_out_q[6]
61,61,\alu_out_q[7]
62,62,\alu_out_q[8]
63,63,\alu_out_q[9]
64,64,clk
65,65,\count_cycle[0]
66,66,\count_cycle[10]
67,67,\count_cycle[11]
68,68,\count_cycle[12]
69,69,\count_cycle[13]
70,70,\count_cycle[14]
71,71,\count_cycle[15]
72,72,\count_cycle[16]
